EKOREGION;EKOREGION_Standar;S_EK
Danau;Danau;1
Danau pegunungan;Danau;1
Dataran fluvial bermaterial aluvium;Dataran fluvial bermaterial aluvium;5
Dataran fluvial berombak-bergelombang bermaterial aluvium;Dataran fluvial berombak-bergelombang bermaterial aluvium;4
Dataran fluviomarin bermaterial aluvium;Dataran fluviomarin bermaterial aluvium;4
Dataran fluviovulkanik bermaterial aluvium;Dataran fluviovulkanik bermaterial aluvium;4
Dataran lakustrin bermaterial aluvium;Dataran lakustrin bermaterial aluvium;4
Dataran marin bermaterial batuan sedimen karbonat;Dataran marin bermaterial batuan sedimen karbonat;2
Dataran marin berpasir bermaterial aluvium;Dataran marin berpasir bermaterial aluvium;2
Dataran organik bermaterial gambut;Dataran organik bermaterial gambut;4
Dataran organik koralian bermaterial batuan sedimen karbonat;Dataran organik koralian bermaterial batuan sedimen karbonat;1
Dataran organik koralian berombak-bergelombang bermaterial batuan sedimen karbonat;Dataran organik koralian berombak-bergelombang bermaterial batuan sedimen karbonat;1
Dataran solusional karst bermaterial batuan sedimen karbonat;Dataran solusional karst bermaterial batuan sedimen karbonat;3
Dataran solusional karst berombak-bergelombang bermaterial batuan sedimen karbonat;Dataran solusional karst berombak-bergelombang bermaterial batuan sedimen karbonat;4
Dataran struktural bermaterial batuan sedimen karbonat;Dataran struktural bermaterial batuan sedimen karbonat;2
Dataran struktural berombak-bergelombang bermaterial batuan sedimen karbonat;Dataran struktural berombak-bergelombang bermaterial batuan sedimen karbonat;2
Dataran struktural lipatan bermaterial batuan metamorfik;Dataran struktural lipatan bermaterial batuan metamorfik;2
Dataran struktural lipatan bermaterial campuran batuan sedimen karbonat dan non karbonat;Dataran struktural lipatan bermaterial campuran batuan sedimen karbonat dan non karbonat;3
Dataran struktural lipatan berombak-bergelombang bermaterial batuan metamorfik;Dataran struktural lipatan berombak-bergelombang bermaterial batuan metamorfik;2
Dataran struktural lipatan berombak-bergelombang bermaterial batuan sedimen karbonat;Dataran struktural lipatan berombak-bergelombang bermaterial batuan sedimen karbonat;3
Dataran struktural lipatan berombak-bergelombang bermaterial batuan sedimen non karbonat;Dataran struktural lipatan berombak-bergelombang bermaterial batuan sedimen non karbonat;2
Dataran struktural lipatan berombak-bergelombang bermaterial campuran batuan sedimen karbonat dan non karbonat;Dataran struktural lipatan berombak-bergelombang bermaterial campuran batuan sedimen karbonat dan non karbonat;2
Dataran struktural plutonik berombak-bergelombang bermaterial batuan beku dalam;Dataran struktural plutonik berombak-bergelombang bermaterial batuan beku dalam;1
Dataran vulkanik bermaterial piroklastik;Dataran vulkanik bermaterial piroklastik;4
Dataran vulkanik berombak-bergelombang bermaterial batuan beku luar;Dataran vulkanik berombak-bergelombang bermaterial batuan beku luar;4
Dataran vulkanik berombak-bergelombang bermaterial campuran batuan beku luar dan piroklastik;Dataran vulkanik berombak-bergelombang bermaterial campuran batuan beku luar dan piroklastik;4
Dataran vulkanik berombak-bergelombang bermaterial piroklastik;Dataran vulkanik berombak-bergelombang bermaterial piroklastik;4
Dataran vulkanik kipas bermaterial piroklastik;Dataran vulkanik kipas bermaterial piroklastik;4
Lembah sungai bermaterial aluvium;Lembah sungai bermaterial aluvium;5
Pegunungan denudasional bermaterial batuan metamorfik;Pegunungan denudasional bermaterial batuan metamorfik;1
Pegunungan denudasional bermaterial batuan metamorfik (ultrabasa);Pegunungan denudasional bermaterial batuan metamorfik (ultrabasa);1
Pegunungan denudasional bermaterial batuan sedimen karbonat;Pegunungan denudasional bermaterial batuan sedimen karbonat;1
Pegunungan denudasional bermaterial batuan sedimen non karbonat;Pegunungan denudasional bermaterial batuan sedimen non karbonat;1
Pegunungan denudasional bermaterial campuran batuan beku luar dan piroklastik;Pegunungan denudasional bermaterial campuran batuan beku luar dan piroklastik;2
Pegunungan denudasional bermaterial campuran batuan sedimen karbonat dan non karbonat;Pegunungan denudasional bermaterial campuran batuan sedimen karbonat dan non karbonat;2
Pegunungan glasial bermaterial batuan metamorfik;Pegunungan glasial bermaterial batuan metamorfik;1
Pegunungan glasial bermaterial batuan sedimen karbonat;Pegunungan glasial bermaterial batuan sedimen karbonat;1
Pegunungan kerucut vulkanik bermaterial batuan beku luar;Pegunungan kerucut vulkanik bermaterial batuan beku luar;2
Pegunungan kerucut vulkanik bermaterial campuran batuan beku luar dan piroklastik;Pegunungan kerucut vulkanik bermaterial campuran batuan beku luar dan piroklastik;2
Pegunungan kerucut vulkanik bermaterial piroklastik;Pegunungan kerucut vulkanik bermaterial piroklastik;2
Pegunungan kerucut vulkanik lereng atas bermaterial campuran batuan beku luar dan piroklastik;Pegunungan kerucut vulkanik lereng atas bermaterial campuran batuan beku luar dan piroklastik;2
