PL;S_PL
Bandara/Pelabuhan;1
Hutan Lahan Kering Primer;2
Hutan Lahan Kering Sekunder;2
Hutan Rawa Primer;2
Hutan Rawa Sekunder;1
Hutan Tanaman;1
Perkebunan;3
Permukiman;1
Transmigrasi;0
Pertambangan;1
Pertanian Lahan Kering;3
Pertanian Lahan Kering Campur;3
Rawa;3
Savana/Padang Rumput;3
Sawah;5
Semak Belukar;2
Semak Belukar Rawa;3
Tambak;5
Perkebunan Pohon;2.75
Perkebunan Perdu;2.5
Perkebunan Terna;3
Perkebunan Semak;2.25
Perkebunan Palma;2.75
Permukiman Perkotaan;1
Permukiman Perdesaan;3
Transmigrasi;0
Tubuh Air Alami;3.75
Tubuh Air Buatan;3.75
Sungai;4
Kolam Bekas Tambang;3.25
Embung;3.5
Lahan Terbuka;1
Lahan Terbuka Diperkeras;1
Lahan Terbuka Berpasir;1.33
Lahan Terbuka Berbatu;1
Lahan Terbuka Berlumpur;1.67
RTH Perkotaan;1
Hutan Kota;1
Industri;1
Saluran Air (Tidak Dirinci);3.5
Kolam Oksidasi dan Pengelolaan Limbah;1
Tempat Penimbunan dan Pembuangan Sampah;1
Hutan Mangrove Primer;3
Hutan Mangrove Sekunder;2
Savana;3
Padang Rumput;3
